Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,2068,0,410,407.54342227370154,128.3469479994892,1267.7341770004205,54.94294003868472,34.787728571963534,0.0,410,480,520,550,600,650,700,770,1100,1300,1300
POST,/predict/batch,237,0,440,429.36471362447514,137.6615609997316,1064.8862990001362,1036.3459915611813,3.9867948121640997,0.0,440,490,530,540,590,650,710,850,1100,1100,1100
,Aggregated,2305,0,410,409.7870865036946,128.3469479994892,1267.7341770004205,155.85075921908893,38.77452338412763,0.0,410,480,520,550,600,650,700,770,1100,1300,1300
