Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict/batch,1261,0,1600,1672.2372591800329,148.89943700018193,3386.3945419998345,1036.3148295003964,28.450357997012503,0.0,1600,1800,2000,2000,2200,2500,2900,3100,3200,3400,3400
,Aggregated,1261,0,1600,1672.2372591800329,148.89943700018193,3386.3945419998345,1036.3148295003964,28.450357997012503,0.0,1600,1800,2000,2000,2200,2500,2900,3100,3200,3400,3400
