Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,120,0,470,535.6720044916301,131.9965709999451,1135.4077920004784,54.958333333333336,30.02563877708438,0.0,470,670,720,740,930,1100,1100,1100,1100,1100,1100
POST,/predict/batch,10,0,750,685.4529439000544,197.84504400013248,1120.3390259997832,1035.9,2.502136564757032,0.0,750,870,930,1100,1100,1100,1100,1100,1100,1100,1100
,Aggregated,130,0,480,547.193615215355,131.9965709999451,1135.4077920004784,130.41538461538462,32.52777534184141,0.0,480,680,730,760,950,1100,1100,1100,1100,1100,1100
