Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,3204,0,770,777.9839091198371,136.65211300030933,1792.2092600001633,54.938514357053684,53.999185946767476,0.0,770,880,930,970,1100,1100,1200,1600,1800,1800,1800
POST,/predict/batch,360,0,770,764.7683620000516,250.574678000703,1590.2670979994582,1036.3722222222223,6.067324263681739,0.0,770,860,920,950,1000,1100,1200,1400,1600,1600,1600
,Aggregated,3564,0,770,776.6490053703625,136.65211300030933,1792.2092600001633,154.07323232323233,60.066510210449216,0.0,770,880,930,960,1100,1100,1200,1600,1800,1800,1800
