Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,1753,0,1100,1143.1706885681851,225.96406000047864,2433.375019999403,54.9343981745579,29.61165699905309,0.0,1100,1300,1400,1400,1600,1700,1900,2200,2300,2400,2400
POST,/predict/batch,210,0,1100,1079.13854321906,459.5073250002315,2381.8155870003466,1036.4238095238095,3.547317723788448,0.0,1100,1200,1300,1300,1500,1600,1700,1700,2400,2400,2400
,Aggregated,1963,0,1100,1136.3205864167262,225.96406000047864,2433.375019999403,159.9332654100866,33.158974722841535,0.0,1100,1300,1400,1400,1500,1700,1900,2200,2400,2400,2400
