Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,1812,0,270,296.56995431566924,125.25878999986162,1085.0799110003209,54.946467991169975,30.477437450280185,0.0,270,340,370,390,460,510,590,660,1100,1100,1100
POST,/predict/batch,217,0,320,321.2392973963339,140.313161999984,699.5204249997187,1036.1797235023041,3.6498917917830025,0.0,320,380,410,430,460,510,550,600,700,700,700
,Aggregated,2029,0,280,299.2083217126645,125.25878999986162,1085.0799110003209,159.88861508132084,34.12732924206319,0.0,280,340,380,400,460,510,590,660,1100,1100,1100
