Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,1938,0,190,219.32501977143167,124.89549500060093,941.1943459999748,54.960268317853455,32.692106536686545,0.0,190,230,270,290,340,380,450,490,910,940,940
POST,/predict/batch,229,0,200,240.57880277285133,137.97712499945192,661.2139839999145,1035.877729257642,3.8629991728076467,0.0,200,260,290,320,390,440,490,500,660,660,660
,Aggregated,2167,0,190,221.57103560314596,124.89549500060093,941.1943459999748,158.61975080756807,36.55510570949419,0.0,190,230,270,290,350,390,450,490,880,940,940
