Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,89,0,850,859.7494353145235,405.0103629997466,1522.6715870003318,55.1123595505618,23.21943527143235,0.0,850,960,1000,1100,1200,1300,1500,1500,1500,1500,1500
POST,/predict/batch,13,0,890,1052.6898299231107,615.1762670006065,2035.0967289996333,1034.1538461538462,3.391602904815961,0.0,890,1200,1200,1200,1400,2000,2000,2000,2000,2000,2000
,Aggregated,102,0,850,884.3398777646373,405.0103629997466,2035.0967289996333,179.8921568627451,26.611038176248307,0.0,850,960,1100,1100,1200,1300,1500,1500,2000,2000,2000
