Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,2368,0,150,171.12017980701268,122.4505400000453,743.23036900023,54.942567567567565,39.87136816151515,0.0,150,170,180,190,230,260,330,370,710,740,740
POST,/predict/batch,267,0,170,187.8414064456963,135.7069139999112,713.4740579999743,1036.2322097378278,4.495631460778946,0.0,170,190,190,210,250,280,360,690,710,710,710
,Aggregated,2635,0,150,172.81451282884507,122.4505400000453,743.23036900023,154.37495256166983,44.366999622294095,0.0,150,170,180,190,230,260,330,370,710,740,740
