Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,1609,0,1600,1565.7087667980136,144.22881500013318,3226.659710000149,54.927284027346175,27.090388070779255,0.0,1600,2000,2100,2200,2400,2700,3000,3100,3200,3200,3200
POST,/predict/batch,184,0,1300,1488.0630576467388,359.35956599996643,3134.9956140002178,1036.5597826086957,3.09796855501764,0.0,1300,1900,2000,2100,2400,2500,3100,3100,3100,3100,3100
,Aggregated,1793,0,1500,1557.740662791412,144.22881500013318,3226.659710000149,155.66369213608476,30.188356625796892,0.0,1500,2000,2100,2100,2400,2700,3000,3100,3200,3200,3200
