Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,1239,0,1600,1700.5197999217203,241.090634000102,3100.2475479999703,54.95641646489104,27.937655440471957,0.0,1600,2100,2200,2300,2500,2700,2900,2900,3000,3100,3100
,Aggregated,1239,0,1600,1700.5197999217203,241.090634000102,3100.2475479999703,54.95641646489104,27.937655440471957,0.0,1600,2100,2200,2300,2500,2700,2900,2900,3000,3100,3100
