Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,274,0,140,142.2736364051058,131.3435329998356,417.9832510003507,54.92700729927007,4.629801477178457,0.0,140,140,140,150,150,150,160,180,420,420,420
POST,/predict/batch,32,0,150,151.86402090627382,143.02076300009503,166.56258400007573,1035.875,0.5407067418602578,0.0,150,150,160,160,160,160,170,170,170,170,170
,Aggregated,306,0,140,143.27655243137175,131.3435329998356,417.9832510003507,157.50980392156862,5.170508219038715,0.0,140,140,150,150,150,160,160,170,420,420,420
