seq,t_utc,true_label,pred_prob,pred_label,model_version,http_status
0,2026-09-22T07:51:20Z,0.0,,,,"ERR:HTTPSConnectionPool(host='itcs355-serve.lemonmoss-4d9a49c1.japanwest.azurecontainerapps.io', port=443): Read timed out. (read timeout=15)"
1,2026-09-22T07:51:36Z,0.0,,,,"ERR:HTTPSConnectionPool(host='itcs355-serve.lemonmoss-4d9a49c1.japanwest.azurecontainerapps.io', port=443): Read timed out. (read timeout=15)"
2,2026-09-22T07:51:51Z,0.0,,,,"ERR:HTTPSConnectionPool(host='itcs355-serve.lemonmoss-4d9a49c1.japanwest.azurecontainerapps.io', port=443): Read timed out. (read timeout=15)"
3,2026-09-22T07:52:06Z,0.0,0.027749667575201493,0,2,200
4,2026-09-22T07:52:12Z,0.0,,,,"ERR:HTTPSConnectionPool(host='itcs355-serve.lemonmoss-4d9a49c1.japanwest.azurecontainerapps.io', port=443): Read timed out. (read timeout=15)"
5,2026-09-22T07:52:27Z,0.0,0.11922608271793553,0,2,200
6,2026-09-22T07:52:27Z,0.0,0.05825732507892671,0,2,200
7,2026-09-22T07:52:28Z,0.0,0.11619138368107229,0,2,200
8,2026-09-22T07:52:28Z,0.0,0.013152967943340239,0,2,200
9,2026-09-22T07:52:28Z,0.0,0.01339691946646136,0,2,200
10,2026-09-22T07:52:29Z,0.0,0.013466650801570638,0,2,200
11,2026-09-22T07:52:29Z,0.0,0.021172381694799652,0,2,200
12,2026-09-22T07:52:30Z,0.0,0.06183076537941293,0,2,200
13,2026-09-22T07:52:30Z,0.0,,,,"ERR:HTTPSConnectionPool(host='itcs355-serve.lemonmoss-4d9a49c1.japanwest.azurecontainerapps.io', port=443): Read timed out. (read timeout=15)"
14,2026-09-22T07:52:45Z,1.0,0.02468354815499456,0,2,200
15,2026-09-22T07:52:46Z,0.0,0.018872827041554293,0,2,200
16,2026-09-22T07:52:46Z,0.0,0.08280422443329545,0,2,200
17,2026-09-22T07:52:46Z,0.0,0.014058021168194747,0,2,200
18,2026-09-22T07:52:47Z,0.0,0.11936568488507796,0,2,200
19,2026-09-22T07:52:47Z,0.0,0.1513633922802773,0,2,200
20,2026-09-22T07:52:47Z,0.0,0.043849374607059816,0,2,200
21,2026-09-22T07:52:48Z,0.0,0.02709874715140768,0,2,200
22,2026-09-22T07:52:48Z,0.0,0.012913446985256406,0,2,200
23,2026-09-22T07:52:48Z,0.0,0.02504527867666016,0,2,200
24,2026-09-22T07:52:49Z,0.0,0.07966997583906632,0,2,200
25,2026-09-22T07:52:49Z,0.0,0.057687748234724466,0,4,200
26,2026-09-22T07:52:53Z,0.0,0.13654103674267173,0,2,200
27,2026-09-22T07:52:53Z,0.0,0.15734408346349515,0,2,200
28,2026-09-22T07:52:53Z,0.0,0.019615834999757043,0,2,200
29,2026-09-22T07:52:54Z,0.0,0.1165653180580585,0,4,200
30,2026-09-22T07:52:54Z,0.0,0.05351860459454612,0,4,200
31,2026-09-22T07:52:55Z,0.0,0.016166616672357626,0,2,200
32,2026-09-22T07:52:55Z,0.0,0.06902319836875624,0,2,200
33,2026-09-22T07:52:55Z,0.0,0.013712349641730771,0,2,200
34,2026-09-22T07:52:56Z,0.0,0.1408803257078845,0,2,200
35,2026-09-22T07:52:56Z,0.0,0.02365756626989165,0,2,200
36,2026-09-22T07:52:56Z,0.0,0.1062304330335809,0,2,200
37,2026-09-22T07:52:57Z,0.0,0.016269599273470013,0,2,200
38,2026-09-22T07:52:57Z,0.0,0.12315174842732692,0,2,200
39,2026-09-22T07:52:57Z,0.0,0.11015632953665425,0,2,200
40,2026-09-22T07:52:58Z,0.0,0.020337437674907505,0,2,200
41,2026-09-22T07:52:58Z,0.0,0.0190130115674329,0,2,200
42,2026-09-22T07:52:58Z,0.0,0.1113970205973513,0,4,200
43,2026-09-22T07:52:59Z,0.0,0.014102780791979885,0,2,200
44,2026-09-22T07:52:59Z,0.0,0.0135176220621785,0,2,200
45,2026-09-22T07:53:00Z,0.0,0.1239611689604029,0,4,200
46,2026-09-22T07:53:00Z,0.0,0.13503697024490352,0,2,200
47,2026-09-22T07:53:00Z,0.0,0.014402439641855615,0,2,200
48,2026-09-22T07:53:01Z,0.0,0.015892336731407792,0,2,200
49,2026-09-22T07:53:01Z,0.0,0.03338864433899151,0,2,200
50,2026-09-22T07:53:01Z,0.0,0.03562643955563258,0,2,200
51,2026-09-22T07:53:02Z,0.0,0.09829991586562035,0,2,200
52,2026-09-22T07:53:02Z,0.0,0.03230609634033482,0,2,200
53,2026-09-22T07:53:02Z,0.0,0.10950462074260658,0,2,200
54,2026-09-22T07:53:03Z,0.0,0.11296951781435104,0,2,200
55,2026-09-22T07:53:03Z,0.0,0.11486813861517692,0,2,200
56,2026-09-22T07:53:03Z,0.0,0.09722298496584748,0,2,200
57,2026-09-22T07:53:04Z,0.0,0.0385608772125948,0,2,200
58,2026-09-22T07:53:04Z,0.0,0.022972928106999895,0,2,200
59,2026-09-22T07:53:04Z,0.0,0.03197976999806585,0,2,200
60,2026-09-22T07:53:05Z,0.0,0.03691925553988996,0,2,200
61,2026-09-22T07:53:05Z,0.0,0.03317936196594368,0,2,200
62,2026-09-22T07:53:06Z,0.0,0.06477986674529031,0,2,200
63,2026-09-22T07:53:06Z,0.0,0.01518909498833418,0,2,200
64,2026-09-22T07:53:06Z,0.0,0.01391606473478496,0,2,200
65,2026-09-22T07:53:07Z,0.0,0.03879620328325031,0,2,200
66,2026-09-22T07:53:07Z,0.0,0.09435135706154543,0,2,200
67,2026-09-22T07:53:07Z,0.0,0.08186968442270297,0,2,200
68,2026-09-22T07:53:08Z,0.0,0.019505352015406353,0,2,200
69,2026-09-22T07:53:08Z,0.0,0.03019728450597267,0,2,200
70,2026-09-22T07:53:08Z,0.0,0.16618320109875964,0,2,200
71,2026-09-22T07:53:09Z,0.0,0.0586869020552533,0,4,200
72,2026-09-22T07:53:09Z,0.0,0.15598620371907398,0,2,200
73,2026-09-22T07:53:09Z,0.0,0.016813015894295565,0,2,200
74,2026-09-22T07:53:10Z,0.0,0.013968629634888687,0,2,200
