t_utc,true_label,pred_prob,pred_label,model_version,http_status
2026-09-22T07:24:49Z,,,,,"ERR:HTTPSConnectionPool(host='itcs355-serve.lemonmoss-4d9a49c1.japanwest.azurecontainerapps.io', port=443): Read timed out. (read timeout=20)"
2026-09-22T07:25:10Z,,,,,"ERR:HTTPSConnectionPool(host='itcs355-serve.lemonmoss-4d9a49c1.japanwest.azurecontainerapps.io', port=443): Read timed out. (read timeout=20)"
2026-09-22T07:25:10Z,0.0,0.0919310934107833,0,4,200
2026-09-22T07:25:10Z,0.0,0.1113970205973513,0,4,200
2026-09-22T07:25:10Z,1.0,0.31126062206544675,0,4,200
2026-09-22T07:25:10Z,0.0,0.0919310934107833,0,4,200
2026-09-22T07:25:10Z,0.0,0.05995981709550093,0,4,200
2026-09-22T07:25:10Z,0.0,0.05351860459454612,0,4,200
2026-09-22T07:25:10Z,0.0,0.06091445549689052,0,4,200
2026-09-22T07:25:10Z,0.0,0.05351860459454612,0,4,200
2026-09-22T07:25:10Z,0.0,0.1165653180580585,0,4,200
2026-09-22T07:25:10Z,0.0,0.05351860459454612,0,4,200
2026-09-22T07:25:10Z,0.0,0.18823622872359871,0,4,200
2026-09-22T07:25:10Z,0.0,0.18755016146611564,0,4,200
2026-09-22T07:25:10Z,0.0,0.05351860459454612,0,4,200
2026-09-22T07:25:10Z,0.0,0.05351860459454612,0,4,200
2026-09-22T07:25:10Z,0.0,0.05351860459454612,0,4,200
2026-09-22T07:25:10Z,0.0,0.05351860459454612,0,4,200
2026-09-22T07:25:10Z,0.0,0.1165653180580585,0,4,200
2026-09-22T07:25:10Z,0.0,0.05351860459454612,0,4,200
2026-09-22T07:25:10Z,0.0,0.0586869020552533,0,4,200
2026-09-22T07:25:10Z,0.0,0.06091445549689052,0,4,200
2026-09-22T07:25:30Z,,,,,"ERR:HTTPSConnectionPool(host='itcs355-serve.lemonmoss-4d9a49c1.japanwest.azurecontainerapps.io', port=443): Read timed out. (read timeout=20)"
2026-09-22T07:25:31Z,0.0,0.02637687587546794,0,2,200
2026-09-22T07:25:31Z,0.0,0.19145475425084868,0,2,200
2026-09-22T07:25:31Z,0.0,0.12072987548441613,0,2,200
2026-09-22T07:25:31Z,0.0,0.030522391483040385,0,2,200
2026-09-22T07:25:31Z,1.0,0.3656789623489576,0,2,200
2026-09-22T07:25:31Z,0.0,0.2490649164226209,0,2,200
2026-09-22T07:25:31Z,0.0,0.10313639102011982,0,2,200
2026-09-22T07:25:31Z,1.0,0.47682582988139993,0,2,200
2026-09-22T07:25:31Z,0.0,0.2953446542193474,0,2,200
2026-09-22T07:25:31Z,0.0,0.17577258631243775,0,2,200
2026-09-22T07:25:31Z,0.0,0.016981131974241514,0,2,200
2026-09-22T07:25:31Z,0.0,0.030221424066740735,0,2,200
2026-09-22T07:25:31Z,1.0,0.20435912454209706,0,2,200
2026-09-22T07:25:31Z,1.0,0.5495526621086776,1,2,200
2026-09-22T07:25:31Z,0.0,0.05014528892758923,0,2,200
2026-09-22T07:25:31Z,0.0,0.0474208755018315,0,2,200
2026-09-22T07:25:31Z,0.0,0.11132985820775493,0,2,200
2026-09-22T07:25:31Z,0.0,0.01282691194686035,0,2,200
2026-09-22T07:25:31Z,0.0,0.01874757630736797,0,2,200
2026-09-22T07:25:31Z,0.0,0.01977875086618179,0,2,200
2026-09-22T07:25:31Z,1.0,0.2090899831526037,0,2,200
2026-09-22T07:25:31Z,0.0,0.0768557930290689,0,2,200
2026-09-22T07:25:31Z,0.0,0.1877435449209267,0,2,200
2026-09-22T07:25:31Z,0.0,0.014328575876997233,0,2,200
2026-09-22T07:25:31Z,0.0,0.18905351336558493,0,2,200
2026-09-22T07:25:31Z,1.0,0.19221364384742126,0,2,200
2026-09-22T07:25:31Z,0.0,0.026885011282095004,0,2,200
2026-09-22T07:25:31Z,0.0,0.019814305258879828,0,2,200
2026-09-22T07:25:31Z,0.0,0.012956851212043428,0,2,200
2026-09-22T07:25:31Z,0.0,0.10855085463879767,0,2,200
2026-09-22T07:25:31Z,0.0,0.013799743416164061,0,2,200
2026-09-22T07:25:31Z,0.0,0.09997402959865782,0,2,200
2026-09-22T07:25:31Z,0.0,0.08162540999318825,0,2,200
2026-09-22T07:25:31Z,0.0,0.02825310599460059,0,2,200
2026-09-22T07:25:31Z,0.0,0.05843273775550137,0,2,200
2026-09-22T07:25:31Z,0.0,0.04317822755737906,0,2,200
2026-09-22T07:25:31Z,0.0,0.026160522934236537,0,2,200
2026-09-22T07:25:31Z,0.0,0.17683920744744708,0,2,200
2026-09-22T07:25:31Z,0.0,0.0722776662456775,0,2,200
2026-09-22T07:25:31Z,0.0,0.05134986912720074,0,2,200
2026-09-22T07:25:32Z,1.0,0.07022149073364656,0,2,200
2026-09-22T07:25:32Z,0.0,0.14278463926368964,0,2,200
2026-09-22T07:25:32Z,0.0,0.02989225567017641,0,2,200
2026-09-22T07:25:32Z,0.0,0.09382608056109161,0,2,200
2026-09-22T07:25:32Z,0.0,0.10296768678805186,0,2,200
2026-09-22T07:25:32Z,0.0,0.08492873167002023,0,2,200
2026-09-22T07:25:32Z,0.0,0.029178812057168154,0,2,200
2026-09-22T07:25:32Z,0.0,0.22701013903016737,0,2,200
2026-09-22T07:25:32Z,0.0,0.3542081644507625,0,2,200
2026-09-22T07:25:32Z,0.0,0.01867000091846589,0,2,200
2026-09-22T07:25:32Z,0.0,0.01977875086618179,0,2,200
2026-09-22T07:25:32Z,0.0,0.19345083005721903,0,2,200
2026-09-22T07:25:32Z,0.0,0.06902319836875624,0,2,200
2026-09-22T07:25:32Z,0.0,0.03247385959961202,0,2,200
2026-09-22T07:25:32Z,0.0,0.013846838650652553,0,2,200
2026-09-22T07:25:32Z,0.0,0.026048729196353634,0,2,200
